time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,ori_w,ori_x,ori_y,ori_z,angvel_x,angvel_y,angvel_z,angacc_x,angacc_y,angacc_z,alpha,drag_x,drag_y,drag_z,lift_x,lift_y,lift_z
1.39,0,0,94.391,0,0,27.8452,0,0,-23.7169,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.826271,0,0,0,
1.4,0,0,94.6671,0,0,27.6104,0,0,-23.483,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.812373,0,0,0,
1.41,0,0,94.9409,0,0,27.3779,0,0,-23.2533,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.798729,0,0,0,
1.42,0,0,95.2124,0,0,27.1476,0,0,-23.0277,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.785332,0,0,0,
1.43,0,0,95.4816,0,0,26.9195,0,0,-22.8063,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.772176,0,0,0,
1.44,0,0,95.7485,0,0,26.6936,0,0,-22.5888,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.759257,0,0,0,
1.45,0,0,96.0132,0,0,26.4699,0,0,-22.3751,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.746568,0,0,0,
1.46,0,0,96.2757,0,0,26.2482,0,0,-22.1653,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.734105,0,0,0,
1.47,0,0,96.536,0,0,26.0286,0,0,-21.9592,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.721862,0,0,0,
1.48,0,0,96.7941,0,0,25.8111,0,0,-21.7567,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.709834,0,0,0,
1.49,0,0,97.0501,0,0,25.5955,0,0,-21.5578,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.698017,0,0,0,
1.5,0,0,97.3039,0,0,25.3819,0,0,-21.3623,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.686406,0,0,0,
1.51,0,0,97.5556,0,0,25.1702,0,0,-21.1702,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.674996,0,0,0,
1.52,0,0,97.8052,0,0,24.9604,0,0,-20.9815,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.663783,0,0,0,
1.53,0,0,98.0527,0,0,24.7524,0,0,-20.7959,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.652763,0,0,0,
1.54,0,0,98.2982,0,0,24.5463,0,0,-20.6136,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.641931,0,0,0,
